"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","correct_response","is_correct"
"1490","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with SOA -- 4 Colors.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","j","html-keyboard-response","0","1492","0.0-0.0","","","","","","","","","","","",""
"7934","
		<div style=""width:800px"">
			<p>You will see text in 4 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press B key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","g","html-keyboard-response","1","9429","0.0-1.0","","","","","","","","","","","",""
"1615","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	","g","html-keyboard-response","2","11045","0.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","11558","0.0-3.0-0.0","fixation","","","","","","","","","","",""
"823","","r","psychophysics","4","12914","0.0-3.0-1.0","response","key","r","16.684779999999993","500","400","Red","Red","true","100","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","13430","0.0-3.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","13942","0.0-3.0-0.1","fixation","","","","","","","","","","",""
"564","","r","psychophysics","7","15019","0.0-3.0-1.1","response","key","r","16.686000000000014","500","400","Red","Red","true","100","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","15528","0.0-3.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","16039","0.0-3.0-0.2","fixation","","","","","","","","","","",""
"489","","r","psychophysics","10","17047","0.0-3.0-1.2","response","key","r","16.67920689655173","500","400","Red","Green","false","300","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","11","17557","0.0-3.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","18067","0.0-3.0-0.3","fixation","","","","","","","","","","",""
"522","","b","psychophysics","13","19107","0.0-3.0-1.3","response","key","b","16.68558064516131","500","400","Blue","Red","false","300","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","14","19609","0.0-3.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","20118","0.0-3.0-0.4","fixation","","","","","","","","","","",""
"577","","g","psychophysics","16","21201","0.0-3.0-1.4","response","key","g","16.680714285714306","500","400","Green","Green","true","100","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","21705","0.0-3.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","22216","0.0-3.0-0.5","fixation","","","","","","","","","","",""
"559","","y","psychophysics","19","23291","0.0-3.0-1.5","response","key","y","16.684941176470602","500","400","Yellow","Red","false","200","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","23794","0.0-3.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","24306","0.0-3.0-0.6","fixation","","","","","","","","","","",""
"442","","y","psychophysics","22","25268","0.0-3.0-1.6","response","key","y","16.68307692307686","500","400","Yellow","Yellow","true","0","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","25780","0.0-3.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","26291","0.0-3.0-0.7","fixation","","","","","","","","","","",""
"445","","y","psychophysics","25","27255","0.0-3.0-1.7","response","key","y","16.676499999999997","500","400","Yellow","Red","false","0","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","26","27763","0.0-3.0-2.7","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","28274","0.0-3.0-0.8","fixation","","","","","","","","","","",""
"532","","r","psychophysics","28","29327","0.0-3.0-1.8","response","key","r","16.67750000000001","500","400","Red","Red","true","0","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","29","29844","0.0-3.0-2.8","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","30353","0.0-3.0-0.9","fixation","","","","","","","","","","",""
"596","","g","psychophysics","31","31481","0.0-3.0-1.9","response","key","g","16.684638888888912","500","400","Green","Green","true","300","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","32","31996","0.0-3.0-2.9","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","32509","0.0-3.0-0.10","fixation","","","","","","","","","","",""
"566","","r","psychophysics","34","33588","0.0-3.0-1.10","response","key","r","16.686441176470588","500","400","Red","Red","true","200","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","35","34091","0.0-3.0-2.10","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","34602","0.0-3.0-0.11","fixation","","","","","","","","","","",""
"541","","y","psychophysics","37","35660","0.0-3.0-1.11","response","key","y","16.68925000000013","500","400","Yellow","Yellow","true","0","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","38","36165","0.0-3.0-2.11","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","36675","0.0-3.0-0.12","fixation","","","","","","","","","","",""
"516","","g","psychophysics","40","37709","0.0-3.0-1.12","response","key","g","16.685709677419283","500","400","Green","Red","false","200","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","41","38211","0.0-3.0-2.12","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","38728","0.0-3.0-0.13","fixation","","","","","","","","","","",""
"774","","g","psychophysics","43","40021","0.0-3.0-1.13","response","key","g","16.68417021276586","500","400","Green","Yellow","false","100","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","44","40532","0.0-3.0-2.13","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","41045","0.0-3.0-0.14","fixation","","","","","","","","","","",""
"541","","g","psychophysics","46","42103","0.0-3.0-1.14","response","key","g","16.684562500000084","500","400","Green","Green","true","100","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","47","42612","0.0-3.0-2.14","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","43124","0.0-3.0-0.15","fixation","","","","","","","","","","",""
"507","","y","psychophysics","49","44145","0.0-3.0-1.15","response","key","y","16.68474193548384","500","400","Yellow","Green","false","300","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","50","44655","0.0-3.0-2.15","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","45160","0.0-3.0-0.16","fixation","","","","","","","","","","",""
"466","","g","psychophysics","52","46144","0.0-3.0-1.16","response","key","g","16.678749999999905","500","400","Green","Green","true","0","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","53","46649","0.0-3.0-2.16","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","47160","0.0-3.0-0.17","fixation","","","","","","","","","","",""
"394","","y","psychophysics","55","48069","0.0-3.0-1.17","response","key","y","16.681708333333216","500","400","Green","Green","true","300","G","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","56","48585","0.0-3.0-2.17","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","49094","0.0-3.0-0.18","fixation","","","","","","","","","","",""
"805","","y","psychophysics","58","50405","0.0-3.0-1.18","response","key","y","16.686458333333274","500","400","Yellow","Blue","false","200","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","59","50921","0.0-3.0-2.18","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","51434","0.0-3.0-0.19","fixation","","","","","","","","","","",""
"583","","g","psychophysics","61","52534","0.0-3.0-1.19","response","key","g","16.681771428571455","500","400","Green","Yellow","false","100","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","62","53046","0.0-3.0-2.19","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","53556","0.0-3.0-0.20","fixation","","","","","","","","","","",""
"583","","g","psychophysics","64","54660","0.0-3.0-1.20","response","key","g","16.685599999999976","500","400","Green","Green","true","300","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","65","55171","0.0-3.0-2.20","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","55682","0.0-3.0-0.21","fixation","","","","","","","","","","",""
"1004","","b","psychophysics","67","57208","0.0-3.0-1.21","response","key","b","16.683000000000007","500","400","Blue","Green","false","200","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","68","57723","0.0-3.0-2.21","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","58233","0.0-3.0-0.22","fixation","","","","","","","","","","",""
"633","","b","psychophysics","70","59388","0.0-3.0-1.22","response","key","b","17.136972972972956","500","400","Blue","Red","false","100","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","71","59891","0.0-3.0-2.22","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","60403","0.0-3.0-0.23","fixation","","","","","","","","","","",""
"720","","b","psychophysics","73","61641","0.0-3.0-1.23","response","key","b","16.68713953488369","500","400","Red","Red","true","100","R","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","74","62150","0.0-3.0-2.23","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","62663","0.0-3.0-0.24","fixation","","","","","","","","","","",""
"564","","r","psychophysics","76","63742","0.0-3.0-1.24","response","key","r","16.67835294117664","500","400","Red","Red","true","200","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","77","64255","0.0-3.0-2.24","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","64765","0.0-3.0-0.25","fixation","","","","","","","","","","",""
"652","","y","psychophysics","79","65934","0.0-3.0-1.25","response","key","y","16.683025641025804","500","400","Yellow","Yellow","true","200","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","80","66440","0.0-3.0-2.25","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","66949","0.0-3.0-0.26","fixation","","","","","","","","","","",""
"720","","y","psychophysics","82","68185","0.0-3.0-1.26","response","key","y","16.686119047619286","500","400","Yellow","Red","false","0","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","83","68693","0.0-3.0-2.26","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","69203","0.0-3.0-0.27","fixation","","","","","","","","","","",""
"1125","","r","psychophysics","85","70846","0.0-3.0-1.27","response","key","r","16.681716417910273","500","400","Red","Blue","false","0","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","86","71350","0.0-3.0-2.27","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","87","71861","0.0-3.0-0.28","fixation","","","","","","","","","","",""
"754","","r","psychophysics","88","73133","0.0-3.0-1.28","response","key","r","16.681311111111103","500","400","Red","Red","true","100","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","89","73640","0.0-3.0-2.28","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","74152","0.0-3.0-0.29","fixation","","","","","","","","","","",""
"638","","g","psychophysics","91","75306","0.0-3.0-1.29","response","key","g","16.685307692307667","500","400","Green","Yellow","false","300","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","92","75822","0.0-3.0-2.29","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","93","76334","0.0-3.0-0.30","fixation","","","","","","","","","","",""
"1910","","g","psychophysics","94","78770","0.0-3.0-1.30","response","key","g","16.682713043478156","500","400","Green","Red","false","0","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","95","79283","0.0-3.0-2.30","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","79793","0.0-3.0-0.31","fixation","","","","","","","","","","",""
"580","","y","psychophysics","97","80890","0.0-3.0-1.31","response","key","y","16.680823529411366","500","400","Yellow","Red","false","300","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","98","81402","0.0-3.0-2.31","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","99","81913","0.0-3.0-0.32","fixation","","","","","","","","","","",""
"495","","g","psychophysics","100","82924","0.0-3.0-1.32","response","key","g","16.68548275862072","500","400","Green","Green","true","0","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","101","83441","0.0-3.0-2.32","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","83950","0.0-3.0-0.33","fixation","","","","","","","","","","",""
"1523","","g","psychophysics","103","85987","0.0-3.0-1.33","response","key","g","16.86639560439565","500","400","Green","Red","false","300","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","104","86493","0.0-3.0-2.33","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","105","87004","0.0-3.0-0.34","fixation","","","","","","","","","","",""
"844","","b","psychophysics","106","88360","0.0-3.0-1.34","response","key","b","16.683340000000026","500","400","Blue","Red","false","300","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","107","88875","0.0-3.0-2.34","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","89379","0.0-3.0-0.35","fixation","","","","","","","","","","",""
"722","","g","psychophysics","109","90614","0.0-3.0-1.35","response","key","g","16.685767441860747","500","400","Green","Blue","false","200","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","110","91125","0.0-3.0-2.35","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","111","91633","0.0-3.0-0.36","fixation","","","","","","","","","","",""
"721","","b","psychophysics","112","92866","0.0-3.0-1.36","response","key","b","16.68106976744169","500","400","Blue","Yellow","false","100","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","113","93367","0.0-3.0-2.36","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","114","93876","0.0-3.0-0.37","fixation","","","","","","","","","","",""
"553","","b","psychophysics","115","94949","0.0-3.0-1.37","response","key","b","16.690424242424232","500","400","Blue","Blue","true","0","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","116","95461","0.0-3.0-2.37","","","","","","","","","","","",""
