"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","is_soa","correct_response","is_correct"
"87129","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Onset Asynchrony.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","g","html-keyboard-response","0","87131","0.0-0.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","1","87639","0.0-1.0-0.0","fixation","","","","","","","","","","","",""
"995","","r","psychophysics","2","89153","0.0-1.0-1.0","response","key","r","16.682949999999984","500","400","Red","Red","true","0","false","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","3","89667","0.0-1.0-2.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","90173","0.0-1.0-0.1","fixation","","","","","","","","","","","",""
"631","","r","psychophysics","5","91321","0.0-1.0-1.1","response","key","r","16.68307894736867","500","400","Red","Red","true","0","false","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","6","91825","0.0-1.0-2.1","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","92339","0.0-1.0-0.2","fixation","","","","","","","","","","","",""
"1172","","b","psychophysics","8","94018","0.0-1.0-1.2","response","key","b","16.684085714285693","500","400","Yellow","Blue","false","0","false","Y","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","9","94524","0.0-1.0-2.2","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","95036","0.0-1.0-0.3","fixation","","","","","","","","","","","",""
"885","","y","psychophysics","11","96425","0.0-1.0-1.3","response","key","y","16.684075471697998","500","400","Yellow","Yellow","true","200","true","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","12","96935","0.0-1.0-2.3","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","97450","0.0-1.0-0.4","fixation","","","","","","","","","","","",""
"1945","","g","psychophysics","14","99905","0.0-1.0-1.4","response","key","g","16.683500000000063","500","400","Red","Green","false","0","false","R","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","15","100416","0.0-1.0-2.4","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","100918","0.0-1.0-0.5","fixation","","","","","","","","","","","",""
"922","","r","psychophysics","17","102346","0.0-1.0-1.5","response","key","r","16.68289285714283","500","400","Yellow","Red","false","0","false","Y","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","18","102857","0.0-1.0-2.5","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","103363","0.0-1.0-0.6","fixation","","","","","","","","","","","",""
"988","","g","psychophysics","20","104866","0.0-1.0-1.6","response","key","g","16.683533333333376","500","400","Green","Blue","false","200","true","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","21","105377","0.0-1.0-2.6","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","105881","0.0-1.0-0.7","fixation","","","","","","","","","","","",""
"704","","r","psychophysics","23","107090","0.0-1.0-1.7","response","key","r","16.683261904761906","500","400","Red","Yellow","false","200","true","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","24","107591","0.0-1.0-2.7","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","108092","0.0-1.0-0.8","fixation","","","","","","","","","","","",""
"699","","g","psychophysics","26","109298","0.0-1.0-1.8","response","key","g","16.684952380952296","500","400","Green","Green","true","0","false","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","27","109801","0.0-1.0-2.8","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","110317","0.0-1.0-0.9","fixation","","","","","","","","","","","",""
"597","","b","psychophysics","29","111418","0.0-1.0-1.9","response","key","b","16.68357142857151","500","400","Blue","Yellow","false","200","true","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","30","111930","0.0-1.0-2.9","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","112431","0.0-1.0-0.10","fixation","","","","","","","","","","","",""
"540","","b","psychophysics","32","113474","0.0-1.0-1.10","response","key","b","16.682606060606002","500","400","Blue","Blue","true","200","true","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","33","113977","0.0-1.0-2.10","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","114477","0.0-1.0-0.11","fixation","","","","","","","","","","","",""
"358","","b","psychophysics","35","115345","0.0-1.0-1.11","response","key","b","16.68527272727277","500","400","Blue","Blue","true","200","true","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","36","115854","0.0-1.0-2.11","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","116369","0.0-1.0-0.12","fixation","","","","","","","","","","","",""
"762","","y","psychophysics","38","117649","0.0-1.0-1.12","response","key","y","16.683413043478062","500","400","Yellow","Yellow","true","200","true","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","39","118152","0.0-1.0-2.12","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","118659","0.0-1.0-0.13","fixation","","","","","","","","","","","",""
"565","","g","psychophysics","41","119730","0.0-1.0-1.13","response","key","g","16.68499999999981","500","400","Green","Green","true","0","false","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","42","120247","0.0-1.0-2.13","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","120752","0.0-1.0-0.14","fixation","","","","","","","","","","","",""
"393","","g","psychophysics","44","121665","0.0-1.0-1.14","response","key","g","16.693083333332954","500","400","Green","Green","true","0","false","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","45","122182","0.0-1.0-2.14","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","122686","0.0-1.0-0.15","fixation","","","","","","","","","","","",""
"764","","r","psychophysics","47","123954","0.0-1.0-1.15","response","key","r","16.68399999999984","500","400","Blue","Red","false","200","true","B","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","48","124457","0.0-1.0-2.15","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","124960","0.0-1.0-0.16","fixation","","","","","","","","","","","",""
"688","","g","psychophysics","50","126155","0.0-1.0-1.16","response","key","g","16.68307142857139","500","400","Green","Blue","false","0","false","G","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","51","126669","0.0-1.0-2.16","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","127172","0.0-1.0-0.17","fixation","","","","","","","","","","","",""
"869","","r","psychophysics","53","128546","0.0-1.0-1.17","response","key","r","16.683173076923246","500","400","Red","Yellow","false","0","false","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","54","129047","0.0-1.0-2.17","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","129563","0.0-1.0-0.18","fixation","","","","","","","","","","","",""
"648","","y","psychophysics","56","130729","0.0-1.0-1.18","response","key","y","16.684128205127752","500","400","Yellow","Yellow","true","200","true","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","57","131233","0.0-1.0-2.18","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","131749","0.0-1.0-0.19","fixation","","","","","","","","","","","",""
"1381","","b","psychophysics","59","133633","0.0-1.0-1.19","response","key","b","16.68350602409638","500","400","Blue","Yellow","false","200","true","B","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","60","134134","0.0-1.0-2.19","","","","","","","","","","","","",""
